title,target,period
[2022년 하반기 성인인문학] 삶의 쉼표가 되는 옛 그림,대상 : 청소년 이상,프로그램 기간 : 2022.09.15 ~ 2022.10.06
"이금이 작가와의 만남 - 페르마타, 이탈리아 (Fermata, Italia)",대상 : 청소년 이상,프로그램 기간 : 2022.06.11 ~ 2022.06.11
문화가 있는 날 인문학북콘서트 <인지하지 못했던 사사로운 것들> 2회차 ,대상 : 누구나,프로그램 기간 : 2022.04.30 ~ 2022.04.30
먹고 입고 살아가는 이야기 세계사,대상 : 청소년 이상,프로그램 기간 : 2022.04.21 ~ 2022.06.02
문화가 있는 날 인문학북콘서트 <인지하지 못했던 사사로운 것들> 1회차,대상 : 누구나,프로그램 기간 : 2022.04.02 ~ 2022.04.02
너와 나의 메타버스,대상 : 청소년 이상,프로그램 기간 : 2022.02.19 ~ 2022.02.19
"[인문학북콘서트] <인지하지 못했던 사사로운 것들> 제3회 오늘, 다시 마주한 우리의 이야기",대상 : 성인,프로그램 기간 : 2021.10.12 ~ 2021.10.12
[인문학북콘서트] <인지하지 못했던 사사로운 것들> 제2회 경계를 넘어 : 과학과 예술 ,대상 : 14세이상,프로그램 기간 : 2021.10.05 ~ 2021.10.05
[인문학북콘서트] <인지하지 못했던 사사로운 것들> 제1회 보편적인 청춘의 문장,대상 : 성인,프로그램 기간 : 2021.08.31 ~ 2021.08.31
애덤 스미스 국부론(노원정보도서관 성인인문학 경제고전 함께 읽기),대상 : 전체이용자,프로그램 기간 : 2021.04.08 ~ 2021.04.29
"[도.도.야][개관기념] 개관 15주년 행사 ""그래도, 도서관은 계속된다!""",대상 : 전체이용자,프로그램 기간 : 2021.02.20 ~ 2021.02.20
"[도.도.야][개관기념] ""별이 빛나는 밤에"" 반 고흐 전시",대상 : 전체이용자,프로그램 기간 : 2021.02.03 ~ 2021.02.25
1.17(일) 1차수령(11-14시) 안심도서대출서비스,대상 : 전체이용자,프로그램 기간 : 2021.01.17 ~ 2021.01.17
"1.17(일) 2,3차수령(15-18시) 안심도서대출서비스",대상 : 전체이용자,프로그램 기간 : 2021.01.17 ~ 2021.01.17
1.16(토) 1차수령(11-14시) 안심도서대출서비스,대상 : 전체이용자,프로그램 기간 : 2021.01.16 ~ 2021.01.16
"1.16(토) 2,3차수령(15-18시) 안심도서대출서비스",대상 : 전체이용자,프로그램 기간 : 2021.01.16 ~ 2021.01.16
1.15(금) 1차수령(11-14시) 안심도서대출서비스,대상 : 전체이용자,프로그램 기간 : 2021.01.15 ~ 2021.01.15
"1.15(금) 2,3차수령(15-18시) 안심도서대출서비스",대상 : 전체이용자,프로그램 기간 : 2021.01.15 ~ 2021.01.15
1.14(목) 1차수령(11-14시) 안심도서대출서비스,대상 : 전체이용자,프로그램 기간 : 2021.01.14 ~ 2021.01.14
"1.14(목) 2,3차수령(15-18시) 안심도서대출서비스",대상 : 전체이용자,프로그램 기간 : 2021.01.14 ~ 2021.01.14
1.13(수) 1차수령(11-14시) 안심도서대출서비스,대상 : 전체이용자,프로그램 기간 : 2021.01.13 ~ 2021.01.13
"1.13(수) 2,3차수령(15-18시) 안심도서대출서비스",대상 : 전체이용자,프로그램 기간 : 2021.01.13 ~ 2021.01.13
1.12(화) 1차수령(11-14시) 안심도서대출서비스,대상 : 전체이용자,프로그램 기간 : 2021.01.12 ~ 2021.01.12
"1.12(화) 2,3차수령(15-18시) 안심도서대출서비스",대상 : 전체이용자,프로그램 기간 : 2021.01.12 ~ 2021.01.12
"1.10(일) 2,3차수령(15-18시) 안심도서대출서비스",대상 : 전체이용자,프로그램 기간 : 2021.01.10 ~ 2021.01.10
1.9(토) 1차수령(11-14시) 안심도서대출서비스,대상 : 전체이용자,프로그램 기간 : 2021.01.09 ~ 2021.01.09
"1.9(토) 2,3차수령(15-18시) 안심도서대출서비스",대상 : 전체이용자,프로그램 기간 : 2021.01.09 ~ 2021.01.09
1.8(금) 1차수령(11-14시) 안심도서대출서비스,대상 : 전체이용자,프로그램 기간 : 2021.01.08 ~ 2021.01.08
"1.8(금) 2,3차수령(15-18시) 안심도서대출서비스",대상 : 전체이용자,프로그램 기간 : 2021.01.08 ~ 2021.01.08
1.7(목) 1차수령(11-14시) 안심도서대출서비스,대상 : 전체이용자,프로그램 기간 : 2021.01.07 ~ 2021.01.07
"1.7(목) 2,3차수령(15-18시) 안심도서대출서비스",대상 : 전체이용자,프로그램 기간 : 2021.01.07 ~ 2021.01.07
1.6(수) 1차수령(11-14시) 안심도서대출서비스,대상 : 전체이용자,프로그램 기간 : 2021.01.06 ~ 2021.01.06
"1.6(수) 2,3차수령(15-18시) 안심도서대출서비스",대상 : 전체이용자,프로그램 기간 : 2021.01.06 ~ 2021.01.06
1.5(화) 1차수령(11-14시) 안심도서대출서비스,대상 : 전체이용자,프로그램 기간 : 2021.01.05 ~ 2021.01.05
"1.5(화) 2,3차수령(15-18시) 안심도서대출서비스",대상 : 전체이용자,프로그램 기간 : 2021.01.05 ~ 2021.01.05
1.3(일) 1차수령(11-14시) 안심도서대출서비스,대상 : 전체이용자,프로그램 기간 : 2021.01.03 ~ 2021.01.03
멸치국수 한 그릇: 작은 공간을 위한 낭독극,대상 : 15세 이상,프로그램 기간 : 2022.09.17 ~ 2022.09.17
"어르신들을 위한 스마트폰, 키오스크 활용교육",대상 : 어르신,프로그램 기간 : 2022.09.08 ~ 2022.09.29
(류한수 교수와 함께 하는)우크라이나-러시아 역사전쟁,대상 : 청소년 이상,프로그램 기간 : 2022.08.20 ~ 2022.08.20
"[7월] 애들아, 도서관에서 놀자",대상 : 초등학교 4~6학년 ,프로그램 기간 : 2022.07.25 ~ 2022.07.28
[5월 상주작가 미니북토크] 도서관과 작가가 만나면,대상 : 성인,프로그램 기간 : 2022.05.25 ~ 2022.05.25
[5월]야호! 책놀이,대상 : 유아6~7세,프로그램 기간 : 2022.05.12 ~ 2022.06.02
[5월] 상주작가 유혜율 특별소개전,대상 : 누구나,프로그램 기간 : 2022.05.01 ~ 2022.05.31
[4월] 도서관주간행사 <제1회 도서관 마스코트 선거>,대상 : 초등,프로그램 기간 : 2022.04.19 ~ 2022.04.23
나를 찾아줘 <상계도서관 개관10주년 & 도서관 주간 특별미션>,대상 : 누구나,프로그램 기간 : 2022.04.12 ~ 2022.04.16
[3월] 상계도서관 개관 10주년 기념 축하 메세지 보내기 이벤트,대상 : 누구나,프로그램 기간 : 2022.02.27 ~ 2022.02.27
[2월] 우와!한상상 그림책 원화 전시,대상 : 누구나,프로그램 기간 : 2022.01.26 ~ 2022.01.26
